Round,Bidder,PEA,Category,BidType,Quantity,Price,Switch To Category,PrevProcessedDemand,CurrentProcessedDemand,PostedPrice,ClockPrice,ExcessDemand,FinalPrice,FinalClockPrice,FinalExcessDemand,Budget,TotalExposure
1,0,PEA158,C1,Simple,1,435000,,0,1,435000,435000,0,435000,435000,0,2062749717,305635000,1196629
1,0,PEA206,C1,Simple,1,255000,,0,1,255000,255000,0,255000,255000,0,2062749717,305635000,999783
1,0,PEA247,C1,Simple,2,260000,,0,2,260000,260000,0,260000,286000,0,2062749717,305635000,955145; 876798
1,0,PEA195,C1,Simple,3,365000,,0,3,365000,365000,0,365000,402000,1,2062749717,305635000,994751; 975118; 958661
1,0,PEA148,C1,Simple,2,1400000,,0,2,1400000,1400000,0,1400000,1400000,0,2062749717,305635000,1717905; 1682459
1,0,PEA124,C1,Simple,2,1650000,,0,2,1650000,1650000,0,1650000,1650000,0,2062749717,305635000,1880708; 1856024
1,0,PEA311,C1,Simple,1,115000,,0,1,115000,115000,0,115000,127000,0,2062749717,305635000,289807
1,0,PEA316,C1,Simple,3,230000,,0,3,230000,230000,0,230000,254000,1,2062749717,305635000,386431; 386086; 373340
1,0,PEA102,C1,Simple,3,1900000,,0,2,1900000,1900000,0,1900000,2091000,4,2062749717,305635000,1976465; 1960430; 1932943
1,0,PEA229,C1,Simple,2,850000,,0,2,850000,850000,0,850000,936000,3,2062749717,305635000,910956; 873144
1,1,PEA002,C1,Simple,2,100000000,,0,1,100000000,100000000,0,100000000,110001000,12,1421943268,157120000,396419011; 388030466
1,1,PEA004,C1,Simple,1,47500000,,0,0,47500000,47500000,0,47500000,52251000,5,1421943268,157120000,161669448
1,1,PEA018,C1,Simple,3,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,1421943268,157120000,39044778; 38541484; 37262653
1,1,PEA016,C1,Simple,1,20000000,,0,0,20000000,20000000,0,20000000,22000000,8,1421943268,157120000,41623880
1,1,PEA020,C1,Simple,1,11500000,,0,0,11500000,11500000,0,11500000,12651000,5,1421943268,157120000,26382455
1,1,PEA022,C1,Simple,3,11000000,,0,1,11000000,11000000,0,11000000,12101000,7,1421943268,157120000,23367630; 22284990; 21860119
1,1,PEA019,C1,Simple,1,12500000,,0,1,12500000,12500000,0,12500000,13751000,2,1421943268,157120000,24573161
1,1,PEA027,C1,Simple,2,9000000,,0,0,9000000,9000000,0,9000000,9900000,8,1421943268,157120000,19175247; 19154955
1,1,PEA026,C1,Simple,1,9000000,,0,1,9000000,9000000,0,9000000,9900000,4,1421943268,157120000,18421074
1,1,PEA042,C1,Simple,1,2500000,,0,1,2500000,2500000,0,2500000,2750000,7,1421943268,157120000,10042109
1,1,PEA034,C1,Simple,3,4600000,,0,3,4600000,4600000,0,4600000,5060000,3,1421943268,157120000,11093814; 10970308; 10875919
1,1,PEA076,C1,Simple,3,900000,,0,2,900000,900000,0,900000,991000,4,1421943268,157120000,3108502; 3072733; 3029871
1,1,PEA119,C1,Simple,2,425000,,0,2,425000,425000,0,425000,468000,0,1421943268,157120000,2222380; 2098880
1,1,PEA091,C1,Simple,1,2200000,,0,0,2200000,2200000,0,2200000,2420000,4,1421943268,157120000,3923823
1,1,PEA156,C1,Simple,2,700000,,0,1,700000,700000,0,700000,771000,7,1421943268,157120000,2364889; 2341892
1,1,PEA070,C1,Simple,1,750000,,0,1,750000,750000,0,750000,750000,0,1421943268,157120000,2261607
1,1,PEA104,C1,Simple,2,1900000,,0,1,1900000,1900000,0,1900000,2091000,3,1421943268,157120000,3118818; 2967084
1,1,PEA130,C1,Simple,2,700000,,0,2,700000,700000,0,700000,771000,2,1421943268,157120000,1912753; 1776402
1,1,PEA212,C1,Simple,1,435000,,0,1,435000,435000,0,435000,435000,0,1421943268,157120000,1509032
1,1,PEA187,C1,Simple,1,375000,,0,0,375000,375000,0,375000,413000,1,1421943268,157120000,1085691
1,1,PEA274,C1,Simple,1,20000,,0,1,20000,20000,0,20000,22000,6,1421943268,157120000,555188
1,1,PEA373,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,1421943268,157120000,204121
1,1,PEA316,C1,Simple,2,230000,,0,2,230000,230000,0,230000,254000,1,1421943268,157120000,389845; 389156
1,1,PEA102,C1,Simple,1,1900000,,0,0,1900000,1900000,0,1900000,2091000,4,1421943268,157120000,2057570
1,2,PEA002,C1,Simple,1,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,800121079,258945000,409920523
1,2,PEA004,C1,Simple,3,47500000,,0,2,47500000,47500000,0,47500000,52251000,5,800121079,258945000,155862361; 155008903; 148575460
1,2,PEA018,C1,Simple,3,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,800121079,258945000,39503051; 39395842; 37642624
1,2,PEA016,C1,Simple,1,20000000,,0,1,20000000,20000000,0,20000000,22000000,8,800121079,258945000,39668892
1,2,PEA020,C1,Simple,3,11500000,,0,1,11500000,11500000,0,11500000,12651000,5,800121079,258945000,25706114; 24638389; 24023324
1,2,PEA019,C1,Simple,2,12500000,,0,2,12500000,12500000,0,12500000,13751000,2,800121079,258945000,25689026; 24413080
1,2,PEA022,C1,Simple,3,11000000,,0,2,11000000,11000000,0,11000000,12101000,7,800121079,258945000,23391101; 22047141; 21214791
1,2,PEA027,C1,Simple,3,9000000,,0,2,9000000,9000000,0,9000000,9900000,8,800121079,258945000,19077818; 19019505; 18677775
1,2,PEA026,C1,Simple,2,9000000,,0,2,9000000,9000000,0,9000000,9900000,4,800121079,258945000,18375980; 18277027
1,2,PEA042,C1,Simple,3,2500000,,0,2,2500000,2500000,0,2500000,2750000,7,800121079,258945000,10209186; 10121599; 10079716
1,2,PEA034,C1,Simple,2,4600000,,0,1,4600000,4600000,0,4600000,5060000,3,800121079,258945000,10881472; 10695479
1,2,PEA076,C1,Simple,2,900000,,0,1,900000,900000,0,900000,991000,4,800121079,258945000,3076086; 3074463
1,2,PEA413,C1,Simple,3,125000,,0,2,125000,125000,0,125000,138000,5,800121079,258945000,2069106; 2065396; 2018037
1,2,PEA091,C1,Simple,3,2200000,,0,3,2200000,2200000,0,2200000,2420000,4,800121079,258945000,4035609; 3887280; 3843352
1,2,PEA156,C1,Simple,3,700000,,0,3,700000,700000,0,700000,771000,7,800121079,258945000,2410490; 2400469; 2329121
1,2,PEA119,C1,Simple,1,425000,,0,1,425000,425000,0,425000,468000,0,800121079,258945000,2125731
1,2,PEA070,C1,Simple,1,750000,,0,1,750000,750000,0,750000,750000,0,800121079,258945000,2155822
1,2,PEA104,C1,Simple,2,1900000,,0,2,1900000,1900000,0,1900000,2091000,3,800121079,258945000,3100096; 3017194
1,2,PEA130,C1,Simple,2,700000,,0,0,700000,700000,0,700000,771000,2,800121079,258945000,1828248; 1810102
1,2,PEA212,C1,Simple,3,435000,,0,3,435000,435000,0,435000,435000,0,800121079,258945000,1524020; 1504818; 1475192
1,2,PEA166,C1,Simple,1,45000,,0,1,45000,45000,0,45000,45000,0,800121079,258945000,1091164
1,2,PEA158,C1,Simple,1,435000,,0,1,435000,435000,0,435000,435000,0,800121079,258945000,1218271
1,2,PEA187,C1,Simple,3,375000,,0,3,375000,375000,0,375000,413000,1,800121079,258945000,1134068; 1132860; 1097158
1,2,PEA206,C1,Simple,1,255000,,0,1,255000,255000,0,255000,255000,0,800121079,258945000,954916
1,2,PEA190,C1,Simple,1,275000,,0,0,275000,275000,0,275000,303000,2,800121079,258945000,970117
1,2,PEA247,C1,Simple,2,260000,,0,2,260000,260000,0,260000,286000,0,800121079,258945000,923849; 902242
1,2,PEA195,C1,Simple,3,365000,,0,2,365000,365000,0,365000,402000,1,800121079,258945000,983352; 962268; 952690
1,2,PEA274,C1,Simple,3,20000,,0,2,20000,20000,0,20000,22000,6,800121079,258945000,563329; 538217; 533599
1,2,PEA415,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,800121079,258945000,515906
1,2,PEA257,C1,Simple,1,315000,,0,1,315000,315000,0,315000,315000,0,800121079,258945000,706160
1,2,PEA297,C1,Simple,1,15000,,0,1,15000,15000,0,15000,15000,0,800121079,258945000,380410
1,2,PEA264,C1,Simple,3,230000,,0,3,230000,230000,0,230000,230000,0,800121079,258945000,586287; 576929; 564635
1,2,PEA148,C1,Simple,3,1400000,,0,3,1400000,1400000,0,1400000,1400000,0,800121079,258945000,1719935; 1669790; 1631080
1,2,PEA124,C1,Simple,2,1650000,,0,2,1650000,1650000,0,1650000,1650000,0,800121079,258945000,1957177; 1861041
1,2,PEA279,C1,Simple,3,495000,,0,3,495000,495000,0,495000,545000,0,800121079,258945000,743935; 739765; 710614
1,2,PEA303,C1,Simple,1,120000,,0,1,120000,120000,0,120000,120000,0,800121079,258945000,341662
1,2,PEA315,C1,Simple,1,110000,,0,1,110000,110000,0,110000,110000,0,800121079,258945000,314446
1,2,PEA338,C1,Simple,3,105000,,0,3,105000,105000,0,105000,105000,0,800121079,258945000,287060; 279365; 269966
1,2,PEA311,C1,Simple,2,115000,,0,2,115000,115000,0,115000,127000,0,800121079,258945000,282430; 279478
1,2,PEA102,C1,Simple,3,1900000,,0,3,1900000,1900000,0,1900000,2091000,4,800121079,258945000,2061538; 2036669; 1990634
1,2,PEA298,C1,Simple,1,215000,,0,1,215000,215000,0,215000,215000,0,800121079,258945000,351032
1,2,PEA366,C1,Simple,3,80000,,0,3,80000,80000,0,80000,80000,0,800121079,258945000,209308; 208238; 201892
1,2,PEA360,C1,Simple,2,80000,,0,2,80000,80000,0,80000,80000,0,800121079,258945000,195964; 192679
1,2,PEA364,C1,Simple,2,60000,,0,2,60000,60000,0,60000,60000,0,800121079,258945000,165789; 163268
1,2,PEA362,C1,Simple,1,80000,,0,1,80000,80000,0,80000,80000,0,800121079,258945000,179375
1,2,PEA356,C1,Simple,1,65000,,0,1,65000,65000,0,65000,65000,0,800121079,258945000,161779
1,2,PEA292,C1,Simple,2,135000,,0,2,135000,135000,0,135000,135000,0,800121079,258945000,226495; 216721
1,2,PEA355,C1,Simple,2,110000,,0,2,110000,110000,0,110000,110000,0,800121079,258945000,187791; 185858
1,2,PEA229,C1,Simple,3,850000,,0,3,850000,850000,0,850000,936000,3,800121079,258945000,909666; 895048; 886814
1,2,PEA404,C1,Simple,2,25000,,0,2,25000,25000,0,25000,25000,0,800121079,258945000,57377; 52093
1,2,PEA391,C1,Simple,2,55000,,0,2,55000,55000,0,55000,55000,0,800121079,258945000,84222; 83438
1,3,PEA002,C1,Simple,1,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,413758664,201080000,400070527
1,3,PEA004,C1,Simple,1,47500000,,0,1,47500000,47500000,0,47500000,52251000,5,413758664,201080000,156940852
1,3,PEA018,C1,Simple,1,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,413758664,201080000,37986059
1,3,PEA016,C1,Simple,3,20000000,,0,3,20000000,20000000,0,20000000,22000000,8,413758664,201080000,40615393; 38857416; 38794504
1,3,PEA020,C1,Simple,2,11500000,,0,2,11500000,11500000,0,11500000,12651000,5,413758664,201080000,26012871; 25334481
1,3,PEA019,C1,Simple,2,12500000,,0,0,12500000,12500000,0,12500000,13751000,2,413758664,201080000,25353002; 24850735
1,3,PEA022,C1,Simple,1,11000000,,0,0,11000000,11000000,0,11000000,12101000,7,413758664,201080000,23051940
1,3,PEA027,C1,Simple,3,9000000,,0,3,9000000,9000000,0,9000000,9900000,8,413758664,201080000,19110064; 18995303; 18226772
1,3,PEA026,C1,Simple,2,9000000,,0,0,9000000,9000000,0,9000000,9900000,4,413758664,201080000,19028465; 18186872
1,3,PEA042,C1,Simple,3,2500000,,0,1,2500000,2500000,0,2500000,2750000,7,413758664,201080000,10208813; 10009914; 9931512
1,3,PEA034,C1,Simple,3,4600000,,0,2,4600000,4600000,0,4600000,5060000,3,413758664,201080000,11017235; 10861620; 10631229
1,3,PEA076,C1,Simple,2,900000,,0,2,900000,900000,0,900000,991000,4,413758664,201080000,3154379; 3112562
1,3,PEA413,C1,Simple,3,125000,,0,2,125000,125000,0,125000,138000,5,413758664,201080000,2119029; 2044246; 2008629
1,3,PEA119,C1,Simple,1,425000,,0,1,425000,425000,0,425000,468000,0,413758664,201080000,2263057
1,3,PEA091,C1,Simple,3,2200000,,0,2,2200000,2200000,0,2200000,2420000,4,413758664,201080000,3933544; 3886566; 3802507
1,3,PEA156,C1,Simple,2,700000,,0,0,700000,700000,0,700000,771000,7,413758664,201080000,2294714; 2268351
1,3,PEA070,C1,Simple,1,750000,,0,1,750000,750000,0,750000,750000,0,413758664,201080000,2261612
1,3,PEA130,C1,Simple,3,700000,,0,3,700000,700000,0,700000,771000,2,413758664,201080000,1914800; 1852814; 1838488
1,3,PEA104,C1,Simple,3,1900000,,0,3,1900000,1900000,0,1900000,2091000,3,413758664,201080000,3113791; 3024898; 3009636
1,3,PEA212,C1,Simple,2,435000,,0,2,435000,435000,0,435000,435000,0,413758664,201080000,1541900; 1468909
1,3,PEA166,C1,Simple,1,45000,,0,1,45000,45000,0,45000,45000,0,413758664,201080000,1137396
1,3,PEA158,C1,Simple,2,435000,,0,2,435000,435000,0,435000,435000,0,413758664,201080000,1223478; 1197905
1,3,PEA187,C1,Simple,3,375000,,0,3,375000,375000,0,375000,413000,1,413758664,201080000,1139024; 1121899; 1088311
1,3,PEA206,C1,Simple,3,255000,,0,3,255000,255000,0,255000,255000,0,413758664,201080000,1000471; 986239; 947560
1,3,PEA190,C1,Simple,2,275000,,0,2,275000,275000,0,275000,303000,2,413758664,201080000,990130; 936944
1,3,PEA247,C1,Simple,2,260000,,0,2,260000,260000,0,260000,286000,0,413758664,201080000,949058; 915167
1,3,PEA195,C1,Simple,2,365000,,0,2,365000,365000,0,365000,402000,1,413758664,201080000,947531; 944513
1,3,PEA274,C1,Simple,2,20000,,0,1,20000,20000,0,20000,22000,6,413758664,201080000,538821; 527763
1,3,PEA415,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,413758664,201080000,510757
1,3,PEA257,C1,Simple,2,315000,,0,2,315000,315000,0,315000,315000,0,413758664,201080000,712351; 701167
1,3,PEA264,C1,Simple,3,230000,,0,3,230000,230000,0,230000,230000,0,413758664,201080000,590535; 575099; 574472
1,3,PEA148,C1,Simple,2,1400000,,0,2,1400000,1400000,0,1400000,1400000,0,413758664,201080000,1671710; 1613799
1,3,PEA303,C1,Simple,1,120000,,0,1,120000,120000,0,120000,120000,0,413758664,201080000,353249
1,3,PEA279,C1,Simple,3,495000,,0,3,495000,495000,0,495000,545000,0,413758664,201080000,727013; 722536; 716058
1,3,PEA124,C1,Simple,2,1650000,,0,2,1650000,1650000,0,1650000,1650000,0,413758664,201080000,1858142; 1820419
1,3,PEA373,C1,Simple,3,5000,,0,3,5000,5000,0,5000,5000,0,413758664,201080000,212195; 211966; 205655
1,3,PEA315,C1,Simple,1,110000,,0,1,110000,110000,0,110000,110000,0,413758664,201080000,302503
1,3,PEA338,C1,Simple,1,105000,,0,1,105000,105000,0,105000,105000,0,413758664,201080000,287957
1,3,PEA316,C1,Simple,1,230000,,0,1,230000,230000,0,230000,254000,1,413758664,201080000,386859
1,3,PEA311,C1,Simple,1,115000,,0,1,115000,115000,0,115000,127000,0,413758664,201080000,271580
1,3,PEA102,C1,Simple,1,1900000,,0,0,1900000,1900000,0,1900000,2091000,4,413758664,201080000,2056308
1,3,PEA298,C1,Simple,2,215000,,0,2,215000,215000,0,215000,215000,0,413758664,201080000,349098; 341913
1,3,PEA360,C1,Simple,1,80000,,0,1,80000,80000,0,80000,80000,0,413758664,201080000,199567
1,3,PEA362,C1,Simple,2,80000,,0,2,80000,80000,0,80000,80000,0,413758664,201080000,179723; 178712
1,3,PEA292,C1,Simple,2,135000,,0,2,135000,135000,0,135000,135000,0,413758664,201080000,232093; 231723
1,3,PEA356,C1,Simple,3,65000,,0,3,65000,65000,0,65000,65000,0,413758664,201080000,161574; 159147; 155810
1,3,PEA355,C1,Simple,1,110000,,0,1,110000,110000,0,110000,110000,0,413758664,201080000,179708
1,3,PEA229,C1,Simple,1,850000,,0,0,850000,850000,0,850000,936000,3,413758664,201080000,901435
1,3,PEA391,C1,Simple,2,55000,,0,2,55000,55000,0,55000,55000,0,413758664,201080000,85318; 84432
1,4,PEA002,C1,Simple,2,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,1683492671,115670000,396945927; 394934738
1,4,PEA004,C1,Simple,1,47500000,,0,1,47500000,47500000,0,47500000,52251000,5,1683492671,115670000,147092386
1,4,PEA018,C1,Simple,3,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,1683492671,115670000,38774018; 37446652; 37284307
1,4,PEA016,C1,Simple,3,20000000,,0,0,20000000,20000000,0,20000000,22000000,8,1683492671,115670000,41136901; 39598806; 38556223
1,4,PEA019,C1,Simple,1,12500000,,0,1,12500000,12500000,0,12500000,13751000,2,1683492671,115670000,26321870
1,4,PEA020,C1,Simple,1,11500000,,0,1,11500000,11500000,0,11500000,12651000,5,1683492671,115670000,24623312
1,4,PEA022,C1,Simple,2,11000000,,0,1,11000000,11000000,0,11000000,12101000,7,1683492671,115670000,21753919; 21294279
1,4,PEA027,C1,Simple,2,9000000,,0,1,9000000,9000000,0,9000000,9900000,8,1683492671,115670000,18763843; 18485188
1,4,PEA026,C1,Simple,3,9000000,,0,2,9000000,9000000,0,9000000,9900000,4,1683492671,115670000,18686609; 18481538; 18479929
1,4,PEA042,C1,Simple,1,2500000,,0,1,2500000,2500000,0,2500000,2750000,7,1683492671,115670000,9976236
1,4,PEA413,C1,Simple,2,125000,,0,1,125000,125000,0,125000,138000,5,1683492671,115670000,2096025; 2032663
1,4,PEA070,C1,Simple,2,750000,,0,2,750000,750000,0,750000,750000,0,1683492671,115670000,2247760; 2197624
1,4,PEA130,C1,Simple,1,700000,,0,1,700000,700000,0,700000,771000,2,1683492671,115670000,1810278
1,4,PEA166,C1,Simple,1,45000,,0,1,45000,45000,0,45000,45000,0,1683492671,115670000,1135376
1,4,PEA190,C1,Simple,2,275000,,0,2,275000,275000,0,275000,303000,2,1683492671,115670000,949374; 942114
1,4,PEA274,C1,Simple,3,20000,,0,1,20000,20000,0,20000,22000,6,1683492671,115670000,566335; 531757; 530319
1,4,PEA415,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,1683492671,115670000,512543
1,4,PEA297,C1,Simple,1,15000,,0,1,15000,15000,0,15000,15000,0,1683492671,115670000,367264
1,4,PEA315,C1,Simple,2,110000,,0,2,110000,110000,0,110000,110000,0,1683492671,115670000,308884; 298454
1,4,PEA102,C1,Simple,1,1900000,,0,0,1900000,1900000,0,1900000,2091000,4,1683492671,115670000,2056063
1,4,PEA366,C1,Simple,2,80000,,0,2,80000,80000,0,80000,80000,0,1683492671,115670000,208193; 197160
1,4,PEA355,C1,Simple,3,110000,,0,3,110000,110000,0,110000,110000,0,1683492671,115670000,187687; 184153; 181638
1,5,PEA002,C1,Simple,2,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,1025889072,108210000,408550289; 395299204
1,5,PEA004,C1,Simple,1,47500000,,0,0,47500000,47500000,0,47500000,52251000,5,1025889072,108210000,153324394
1,5,PEA018,C1,Simple,3,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,1025889072,108210000,39406866; 39223156; 38758632
1,5,PEA016,C1,Simple,2,20000000,,0,0,20000000,20000000,0,20000000,22000000,8,1025889072,108210000,40876472; 39511953
1,5,PEA020,C1,Simple,1,11500000,,0,0,11500000,11500000,0,11500000,12651000,5,1025889072,108210000,26354233
1,5,PEA019,C1,Simple,3,12500000,,0,3,12500000,12500000,0,12500000,13751000,2,1025889072,108210000,26083614; 25984223; 25528250
1,5,PEA022,C1,Simple,2,11000000,,0,2,11000000,11000000,0,11000000,12101000,7,1025889072,108210000,23293868; 22053785
1,5,PEA026,C1,Simple,3,9000000,,0,2,9000000,9000000,0,9000000,9900000,4,1025889072,108210000,19005414; 18869874; 18677114
1,5,PEA027,C1,Simple,2,9000000,,0,0,9000000,9000000,0,9000000,9900000,8,1025889072,108210000,18468504; 18437496
1,5,PEA042,C1,Simple,2,2500000,,0,0,2500000,2500000,0,2500000,2750000,7,1025889072,108210000,10084435; 9820972
1,5,PEA034,C1,Simple,2,4600000,,0,2,4600000,4600000,0,4600000,5060000,3,1025889072,108210000,11080444; 10653892
1,5,PEA076,C1,Simple,2,900000,,0,2,900000,900000,0,900000,991000,4,1025889072,108210000,3151972; 3042261
1,5,PEA091,C1,Simple,3,2200000,,0,2,2200000,2200000,0,2200000,2420000,4,1025889072,108210000,4004213; 3896376; 3851629
1,5,PEA156,C1,Simple,2,700000,,0,1,700000,700000,0,700000,771000,7,1025889072,108210000,2327992; 2269003
1,5,PEA070,C1,Simple,1,750000,,0,1,750000,750000,0,750000,750000,0,1025889072,108210000,2171427
1,5,PEA130,C1,Simple,3,700000,,0,3,700000,700000,0,700000,771000,2,1025889072,108210000,1920447; 1866218; 1818245
1,5,PEA104,C1,Simple,2,1900000,,0,1,1900000,1900000,0,1900000,2091000,3,1025889072,108210000,3015621; 3006627
1,5,PEA212,C1,Simple,1,435000,,0,1,435000,435000,0,435000,435000,0,1025889072,108210000,1513625
1,5,PEA166,C1,Simple,2,45000,,0,2,45000,45000,0,45000,45000,0,1025889072,108210000,1111530; 1100989
1,5,PEA206,C1,Simple,1,255000,,0,1,255000,255000,0,255000,255000,0,1025889072,108210000,978501
1,5,PEA190,C1,Simple,3,275000,,0,2,275000,275000,0,275000,303000,2,1025889072,108210000,994872; 992077; 971701
1,5,PEA247,C1,Simple,1,260000,,0,1,260000,260000,0,260000,286000,0,1025889072,108210000,953507
1,5,PEA124,C1,Simple,2,1650000,,0,2,1650000,1650000,0,1650000,1650000,0,1025889072,108210000,1981139; 1953418
1,5,PEA264,C1,Simple,1,230000,,0,1,230000,230000,0,230000,230000,0,1025889072,108210000,551143
1,5,PEA279,C1,Simple,1,495000,,0,1,495000,495000,0,495000,545000,0,1025889072,108210000,717363
1,5,PEA298,C1,Simple,3,215000,,0,3,215000,215000,0,215000,215000,0,1025889072,108210000,346625; 337477; 325893
1,5,PEA102,C1,Simple,1,1900000,,0,1,1900000,1900000,0,1900000,2091000,4,1025889072,108210000,1991936
1,5,PEA229,C1,Simple,3,850000,,0,2,850000,850000,0,850000,936000,3,1025889072,108210000,921548; 919781; 903460
1,6,PEA002,C1,Simple,1,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,209797595,108900000,408633183
1,6,PEA004,C1,Simple,1,47500000,,0,1,47500000,47500000,0,47500000,52251000,5,209797595,108900000,159637706
1,6,PEA018,C1,Simple,1,16500000,,0,1,16500000,16500000,0,16500000,18150000,18,209797595,108900000,39448620
1,6,PEA016,C1,Simple,1,20000000,,0,1,20000000,20000000,0,20000000,22000000,8,209797595,108900000,39598483
1,6,PEA020,C1,Simple,1,11500000,,0,1,11500000,11500000,0,11500000,12651000,5,209797595,108900000,25844432
1,6,PEA019,C1,Simple,1,12500000,,0,1,12500000,12500000,0,12500000,13751000,2,209797595,108900000,26306404
1,6,PEA076,C1,Simple,1,900000,,0,1,900000,900000,0,900000,991000,4,209797595,108900000,3114297
1,6,PEA156,C1,Simple,1,700000,,0,0,700000,700000,0,700000,771000,7,209797595,108900000,2388412
1,7,PEA002,C1,Simple,1,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,104519669,3570000,410411878
1,7,PEA042,C1,Simple,1,2500000,,0,1,2500000,2500000,0,2500000,2750000,7,104519669,3570000,9944501
1,7,PEA076,C1,Simple,1,900000,,0,0,900000,900000,0,900000,991000,4,104519669,3570000,3078796
1,7,PEA413,C1,Simple,1,125000,,0,1,125000,125000,0,125000,138000,5,104519669,3570000,2093728
1,7,PEA119,C1,Simple,1,425000,,0,1,425000,425000,0,425000,468000,0,104519669,3570000,2222752
1,7,PEA212,C1,Simple,1,435000,,0,1,435000,435000,0,435000,435000,0,104519669,3570000,1533025
1,7,PEA415,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,104519669,3570000,535084
1,7,PEA274,C1,Simple,1,20000,,0,0,20000,20000,0,20000,22000,6,104519669,3570000,533297
1,7,PEA297,C1,Simple,1,15000,,0,1,15000,15000,0,15000,15000,0,104519669,3570000,377514
1,7,PEA356,C1,Simple,1,65000,,0,1,65000,65000,0,65000,65000,0,104519669,3570000,169178
1,8,PEA018,C1,Simple,1,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,27708131,11195000,36505015
1,8,PEA022,C1,Simple,1,11000000,,0,1,11000000,11000000,0,11000000,12101000,7,27708131,11195000,23336837
1,8,PEA413,C1,Simple,1,125000,,0,1,125000,125000,0,125000,138000,5,27708131,11195000,2122748
1,8,PEA166,C1,Simple,1,45000,,0,1,45000,45000,0,45000,45000,0,27708131,11195000,1097784
1,8,PEA415,C1,Simple,1,5000,,0,1,5000,5000,0,5000,5000,0,27708131,11195000,522632
1,8,PEA274,C1,Simple,1,20000,,0,1,20000,20000,0,20000,22000,6,27708131,11195000,526586
1,9,PEA002,C1,Simple,1,100000000,,0,0,100000000,100000000,0,100000000,110001000,12,206966862,79435000,400220946
1,9,PEA004,C1,Simple,1,47500000,,0,1,47500000,47500000,0,47500000,52251000,5,206966862,79435000,156372936
1,9,PEA018,C1,Simple,1,16500000,,0,0,16500000,16500000,0,16500000,18150000,18,206966862,79435000,38644405
1,9,PEA016,C1,Simple,1,20000000,,0,1,20000000,20000000,0,20000000,22000000,8,206966862,79435000,41395218
